Customer_ID,Age,Gender,City,Income_Level,Purchase_Mode,Brand_Purchased,Price_Range,Payment_Mode,Purchase_Frequency,Satisfaction_Rating
CUST00023,50,Female,Hyderabad,High,Offline,Dell,50K-80K,Credit Card,Rare,1
CUST00024,29,Male,Jaipur,Medium,Online,Asus,50K-80K,Debit Card,Rare,4
CUST00025,39,Male,Chennai,Medium,Online,Samsung,30K-50K,UPI,Rare,1
CUST00026,42,Female,Ahmedabad,Medium,Online,Lenovo,Above 1.2L,Debit Card,Frequent,4
CUST00027,44,Female,Chennai,High,Offline,HP,Below 30K,Cash,Rare,5
CUST00028,59,Male,Delhi,High,Online,Apple,50K-80K,Debit Card,Rare,2
CUST00029,45,Female,Ahmedabad,Medium,Online,MSI,80K-1.2L,UPI,Occasional,1
CUST00030,33,Female,Pune,Medium,Online,Lenovo,50K-80K,Credit Card,Rare,2
CUST00031,32,Female,Chennai,Medium,Offline,MSI,80K-1.2L,Cash,Occasional,2
CUST00032,20,Female,Jaipur,Low,Online,HP,30K-50K,Credit Card,Rare,2
CUST00033,54,Female,Jaipur,Medium,Online,Acer,30K-50K,Cash,Occasional,3
CUST00034,24,Male,Ahmedabad,Medium,Offline,Acer,80K-1.2L,UPI,Occasional,4
CUST00035,38,Female,Mumbai,Low,Offline,Samsung,30K-50K,Credit Card,Occasional,2
CUST00036,26,Male,Pune,Low,Online,Samsung,50K-80K,UPI,Rare,5
CUST00037,56,Female,Kolkata,Medium,Offline,HP,Below 30K,UPI,Occasional,1
CUST00038,35,Male,Pune,High,Online,Samsung,50K-80K,Debit Card,Rare,2
CUST00039,21,Female,Jaipur,Medium,Online,Acer,50K-80K,Cash,Occasional,2
CUST00040,42,Female,Delhi,Medium,Online,Apple,30K-50K,EMI,Rare,1
CUST00041,31,Male,Chennai,Medium,Online,Lenovo,30K-50K,EMI,Rare,5
CUST00042,26,Female,Chennai,Medium,Offline,HP,50K-80K,Credit Card,Rare,2
CUST00043,43,Male,Delhi,Medium,Online,Apple,Below 30K,UPI,Rare,2
CUST00044,19,Female,Bangalore,Medium,Online,Lenovo,50K-80K,Debit Card,Rare,5
CUST00045,37,Male,Ahmedabad,Low,Online,Lenovo,50K-80K,Cash,Occasional,2
CUST00046,45,Male,Jaipur,Medium,Online,Apple,30K-50K,Credit Card,Rare,5
CUST00047,24,Female,Hyderabad,Low,Online,Lenovo,50K-80K,UPI,Occasional,2
CUST00048,25,Male,Delhi,Medium,Online,Asus,30K-50K,EMI,Rare,1
CUST00049,52,Female,Delhi,High,Online,HP,30K-50K,EMI,Rare,5
CUST00050,31,Male,Pune,Low,Offline,HP,30K-50K,Cash,Rare,1
CUST00051,34,Male,Ahmedabad,Medium,Online,Lenovo,50K-80K,Cash,Rare,1
CUST00052,53,Male,Ahmedabad,Medium,Online,Apple,80K-1.2L,Cash,Rare,2
CUST00053,57,Female,Hyderabad,High,Online,Dell,Below 30K,Credit Card,Frequent,5
CUST00054,21,Male,Ahmedabad,Medium,Online,Samsung,30K-50K,Cash,Rare,3
CUST00055,19,Male,Mumbai,Medium,Offline,Acer,Below 30K,Credit Card,Occasional,1
CUST00056,23,Male,Jaipur,High,Offline,Lenovo,50K-80K,Debit Card,Rare,1
CUST00057,59,Male,Mumbai,Medium,Online,Dell,30K-50K,UPI,Occasional,1
CUST00058,21,Female,Bangalore,Medium,Online,Lenovo,50K-80K,EMI,Rare,2
CUST00059,46,Female,Jaipur,Medium,Online,Dell,30K-50K,Credit Card,Frequent,2
CUST00060,35,Male,Kolkata,High,Online,Lenovo,80K-1.2L,UPI,Rare,1
CUST00061,43,Female,Jaipur,Low,Online,Apple,50K-80K,Cash,Rare,2
CUST00062,51,Male,Jaipur,Medium,Offline,Acer,80K-1.2L,EMI,Rare,2
CUST00063,27,Female,Hyderabad,Medium,Offline,MSI,Below 30K,Credit Card,Rare,2
CUST00064,53,Female,Mumbai,Medium,Online,MSI,50K-80K,Cash,Rare,4
CUST00065,31,Female,Pune,Medium,Offline,Dell,50K-80K,UPI,Rare,5
CUST00066,48,Male,Hyderabad,Medium,Offline,Samsung,50K-80K,Debit Card,Occasional,2
CUST00067,32,Female,Jaipur,Low,Offline,Samsung,Below 30K,UPI,Rare,4
CUST00068,25,Male,Pune,Medium,Offline,Asus,Above 1.2L,Credit Card,Rare,4
CUST00069,31,Female,Chennai,Medium,Online,Apple,30K-50K,Debit Card,Rare,2
CUST00070,40,Male,Pune,High,Online,Acer,30K-50K,Debit Card,Occasional,4
CUST00071,57,Female,Delhi,Low,Offline,Lenovo,30K-50K,Cash,Rare,3
CUST00072,38,Female,Hyderabad,High,Offline,Dell,50K-80K,UPI,Rare,4
CUST00073,33,Female,Hyderabad,Medium,Offline,Samsung,50K-80K,Credit Card,Rare,5
CUST00074,35,Male,Delhi,Low,Online,Acer,30K-50K,Debit Card,Rare,4
CUST00075,41,Female,Chennai,Medium,Online,HP,30K-50K,Cash,Rare,2
CUST00076,43,Male,Ahmedabad,Low,Online,Samsung,50K-80K,Debit Card,Frequent,1
CUST00077,42,Female,Ahmedabad,High,Online,Apple,30K-50K,UPI,Rare,3
CUST00078,58,Male,Ahmedabad,High,Online,Dell,80K-1.2L,EMI,Rare,4
CUST00079,46,Male,Ahmedabad,Low,Online,Apple,80K-1.2L,Credit Card,Occasional,3
CUST00080,32,Male,Mumbai,Low,Online,Dell,30K-50K,EMI,Rare,5
CUST00081,18,Male,Delhi,Medium,Online,MSI,Below 30K,UPI,Occasional,4
CUST00082,42,Male,Chennai,Medium,Online,HP,80K-1.2L,EMI,Frequent,4
CUST00083,24,Male,Jaipur,Medium,Online,Asus,Below 30K,UPI,Frequent,3
CUST00084,26,Male,Bangalore,Medium,Online,HP,30K-50K,UPI,Rare,4
CUST00085,41,Female,Hyderabad,Medium,Online,Lenovo,30K-50K,Cash,Rare,4
CUST00086,18,Female,Pune,Low,Offline,Apple,30K-50K,EMI,Frequent,1
CUST00087,25,Male,Ahmedabad,High,Online,Asus,80K-1.2L,Debit Card,Rare,3
CUST00088,41,Male,Pune,High,Online,Apple,50K-80K,UPI,Rare,2
CUST00089,28,Male,Bangalore,Medium,Offline,Acer,Above 1.2L,EMI,Rare,2
CUST00090,34,Male,Hyderabad,High,Online,Dell,30K-50K,Debit Card,Rare,5
CUST00091,25,Female,Kolkata,Low,Offline,Lenovo,30K-50K,Credit Card,Frequent,1
CUST00092,52,Female,Chennai,Low,Online,Lenovo,Above 1.2L,Debit Card,Occasional,3
CUST00093,52,Male,Mumbai,Medium,Offline,Apple,80K-1.2L,EMI,Rare,3
CUST00094,50,Male,Pune,Medium,Online,MSI,50K-80K,EMI,Occasional,1
CUST00095,22,Male,Ahmedabad,Medium,Offline,Lenovo,30K-50K,Debit Card,Rare,1
CUST00096,59,Female,Delhi,High,Offline,Samsung,50K-80K,Debit Card,Occasional,5
CUST00097,56,Female,Pune,High,Online,Apple,30K-50K,UPI,Rare,2
CUST00098,58,Male,Hyderabad,Medium,Online,Dell,50K-80K,EMI,Rare,3
CUST00099,45,Male,Kolkata,Medium,Online,Dell,50K-80K,UPI,Rare,1
CUST00100,24,Female,Chennai,Low,Online,Apple,50K-80K,UPI,Rare,3
CUST00101,26,Female,Delhi,Low,Online,HP,50K-80K,Credit Card,Rare,2
CUST00102,25,Male,Hyderabad,Medium,Offline,HP,50K-80K,EMI,Rare,3
CUST00103,29,Male,Kolkata,Medium,Online,Dell,Below 30K,UPI,Frequent,3
CUST00104,51,Male,Delhi,Medium,Online,Asus,30K-50K,Credit Card,Frequent,1
CUST00105,50,Female,Pune,Medium,Offline,Samsung,50K-80K,UPI,Occasional,1
CUST00106,40,Male,Hyderabad,Medium,Online,HP,30K-50K,UPI,Occasional,1
CUST00107,41,Male,Jaipur,Low,Online,Apple,30K-50K,EMI,Frequent,2
CUST00108,54,Female,Kolkata,Medium,Offline,Dell,Below 30K,Debit Card,Occasional,4
CUST00109,52,Male,Jaipur,Low,Offline,Lenovo,30K-50K,Debit Card,Rare,2
CUST00110,57,Female,Jaipur,Low,Online,Lenovo,Above 1.2L,EMI,Occasional,1
CUST00111,39,Male,Mumbai,Medium,Offline,MSI,30K-50K,Debit Card,Rare,5
CUST00112,44,Male,Kolkata,Low,Online,Samsung,50K-80K,Cash,Rare,3
CUST00113,52,Female,Jaipur,High,Online,HP,50K-80K,Debit Card,Rare,3
CUST00114,18,Male,Pune,Low,Online,Asus,Below 30K,UPI,Rare,3
CUST00115,52,Female,Hyderabad,Low,Online,Acer,80K-1.2L,UPI,Frequent,3
CUST00116,54,Male,Hyderabad,Medium,Online,HP,30K-50K,Credit Card,Occasional,5
CUST00117,31,Male,Pune,Medium,Online,Asus,80K-1.2L,EMI,Occasional,1
CUST00118,20,Female,Mumbai,Low,Offline,HP,Below 30K,Credit Card,Occasional,4
CUST00119,18,Male,Chennai,Low,Online,Lenovo,Below 30K,UPI,Rare,3
CUST00120,22,Female,Mumbai,High,Offline,Asus,30K-50K,UPI,Occasional,4
CUST00121,43,Male,Hyderabad,Medium,Online,Lenovo,30K-50K,Credit Card,Rare,2
CUST00122,31,Male,Chennai,Medium,Offline,Samsung,80K-1.2L,Cash,Rare,2
CUST00123,56,Male,Mumbai,Medium,Online,MSI,Below 30K,Debit Card,Occasional,3
CUST00124,44,Male,Jaipur,Low,Online,Apple,50K-80K,Cash,Occasional,1
CUST00125,26,Female,Chennai,Medium,Online,Apple,Below 30K,Cash,Occasional,5
CUST00126,32,Female,Hyderabad,Medium,Offline,Dell,80K-1.2L,Cash,Rare,3
CUST00127,32,Male,Pune,High,Offline,Lenovo,50K-80K,Cash,Occasional,2
CUST00128,43,Male,Ahmedabad,Low,Online,Lenovo,30K-50K,Debit Card,Rare,2
CUST00129,59,Female,Jaipur,High,Online,MSI,30K-50K,EMI,Rare,4
CUST00130,30,Female,Jaipur,Low,Online,Dell,50K-80K,Credit Card,Rare,5
CUST00131,49,Male,Ahmedabad,Low,Offline,Samsung,30K-50K,Cash,Rare,3
CUST00132,56,Male,Bangalore,Low,Offline,Apple,30K-50K,Cash,Rare,1
CUST00133,49,Male,Delhi,Low,Offline,Apple,50K-80K,Credit Card,Rare,4
CUST00134,21,Female,Kolkata,High,Offline,Asus,Above 1.2L,Credit Card,Occasional,5
CUST00135,47,Male,Mumbai,Medium,Offline,Asus,80K-1.2L,EMI,Rare,4
CUST00136,54,Male,Bangalore,Low,Online,Acer,50K-80K,UPI,Rare,1
CUST00137,40,Female,Mumbai,High,Offline,MSI,50K-80K,EMI,Rare,2
CUST00138,56,Male,Bangalore,High,Offline,Apple,Above 1.2L,UPI,Frequent,3
CUST00139,32,Male,Chennai,Medium,Offline,Acer,50K-80K,Debit Card,Frequent,3
CUST00140,46,Male,Pune,High,Online,HP,30K-50K,EMI,Rare,1
CUST00141,53,Male,Kolkata,Low,Online,Lenovo,80K-1.2L,Debit Card,Rare,3
CUST00142,30,Male,Kolkata,High,Online,Asus,30K-50K,Credit Card,Rare,3
CUST00143,49,Male,Mumbai,Medium,Online,HP,Below 30K,EMI,Rare,4
CUST00144,24,Male,Ahmedabad,High,Online,Asus,50K-80K,Credit Card,Rare,1
CUST00145,39,Female,Chennai,Medium,Online,Dell,Below 30K,Cash,Rare,4
CUST00146,45,Female,Kolkata,Medium,Online,Lenovo,30K-50K,Credit Card,Rare,3
CUST00147,19,Female,Delhi,Medium,Online,Acer,30K-50K,Cash,Occasional,5
CUST00148,59,Male,Mumbai,Low,Online,Samsung,50K-80K,UPI,Rare,5
CUST00149,23,Male,Jaipur,Medium,Online,Acer,Above 1.2L,Cash,Rare,4
CUST00150,45,Male,Delhi,Low,Offline,Samsung,30K-50K,UPI,Occasional,2
CUST00151,45,Male,Hyderabad,High,Offline,Samsung,30K-50K,Cash,Occasional,2
CUST00152,37,Male,Mumbai,Low,Online,Asus,Below 30K,Cash,Occasional,1
CUST00153,47,Female,Mumbai,Medium,Offline,Apple,50K-80K,Debit Card,Rare,5
CUST00154,28,Male,Jaipur,Medium,Offline,MSI,50K-80K,Debit Card,Rare,5
CUST00155,45,Male,Chennai,High,Online,Acer,30K-50K,Credit Card,Rare,4
CUST00156,42,Male,Jaipur,Medium,Online,Dell,30K-50K,Debit Card,Rare,3
CUST00157,56,Female,Kolkata,Medium,Online,Dell,50K-80K,UPI,Rare,1
CUST00158,50,Male,Pune,High,Online,Apple,50K-80K,Debit Card,Occasional,4
CUST00159,18,Female,Mumbai,Medium,Offline,Dell,30K-50K,Credit Card,Frequent,2
CUST00160,44,Male,Hyderabad,Medium,Online,MSI,30K-50K,EMI,Occasional,3
CUST00161,30,Female,Ahmedabad,Medium,Online,Lenovo,30K-50K,UPI,Occasional,1
CUST00162,58,Female,Mumbai,High,Offline,Asus,Above 1.2L,EMI,Rare,3
CUST00163,20,Male,Jaipur,Medium,Online,Dell,80K-1.2L,UPI,Occasional,2
CUST00164,56,Male,Bangalore,Low,Offline,Lenovo,50K-80K,Credit Card,Frequent,4
CUST00165,23,Male,Mumbai,High,Online,Apple,80K-1.2L,Debit Card,Occasional,4
CUST00166,25,Male,Mumbai,Medium,Online,Asus,50K-80K,EMI,Rare,5
CUST00167,44,Female,Hyderabad,Medium,Online,Apple,80K-1.2L,EMI,Rare,4
CUST00168,26,Female,Hyderabad,High,Online,Asus,Below 30K,Debit Card,Rare,5
CUST00169,54,Female,Mumbai,Low,Online,MSI,30K-50K,Credit Card,Rare,4
CUST00170,50,Female,Bangalore,Medium,Online,Dell,50K-80K,Debit Card,Frequent,1
CUST00171,59,Male,Pune,Medium,Online,Dell,50K-80K,Cash,Occasional,2
CUST00172,41,Male,Bangalore,High,Online,Asus,30K-50K,Cash,Occasional,3
CUST00173,32,Female,Bangalore,Low,Online,Lenovo,30K-50K,Cash,Rare,2
CUST00174,49,Male,Bangalore,Medium,Offline,Lenovo,30K-50K,EMI,Rare,2
CUST00175,49,Female,Pune,High,Online,Lenovo,30K-50K,EMI,Rare,5
CUST00176,41,Male,Chennai,Low,Online,HP,30K-50K,Credit Card,Occasional,5
CUST00177,58,Male,Chennai,Low,Online,Acer,50K-80K,UPI,Rare,1
CUST00178,29,Female,Bangalore,High,Online,Acer,80K-1.2L,Debit Card,Frequent,3
CUST00179,56,Male,Jaipur,Low,Online,Acer,50K-80K,UPI,Occasional,4
CUST00180,19,Female,Delhi,High,Online,Lenovo,80K-1.2L,EMI,Occasional,4
CUST00181,20,Female,Chennai,Low,Offline,Dell,80K-1.2L,Debit Card,Frequent,2
CUST00182,54,Female,Ahmedabad,Medium,Online,MSI,30K-50K,EMI,Frequent,1
CUST00183,34,Female,Hyderabad,Medium,Online,HP,30K-50K,Credit Card,Rare,3
CUST00184,19,Female,Pune,Medium,Online,Samsung,Below 30K,Debit Card,Occasional,4
CUST00185,19,Female,Pune,Medium,Offline,Samsung,80K-1.2L,EMI,Rare,2
CUST00186,45,Male,Delhi,Medium,Online,Lenovo,Below 30K,Cash,Rare,1
CUST00187,40,Male,Chennai,High,Online,Dell,50K-80K,Cash,Rare,3
CUST00188,54,Female,Hyderabad,Low,Online,HP,30K-50K,EMI,Occasional,2
CUST00189,49,Male,Bangalore,Medium,Online,Dell,80K-1.2L,UPI,Rare,2
CUST00190,50,Male,Jaipur,Low,Online,Asus,30K-50K,Credit Card,Occasional,1
CUST00191,18,Male,Chennai,Medium,Offline,Dell,80K-1.2L,Credit Card,Occasional,1
CUST00192,36,Female,Delhi,Low,Online,HP,30K-50K,EMI,Occasional,1
CUST00193,19,Female,Hyderabad,Medium,Online,Lenovo,30K-50K,Credit Card,Rare,1
CUST00194,43,Male,Mumbai,Medium,Offline,Acer,50K-80K,Debit Card,Occasional,3
CUST00195,49,Female,Hyderabad,Low,Online,HP,Above 1.2L,Credit Card,Rare,1
CUST00196,23,Female,Mumbai,Low,Online,Lenovo,50K-80K,Cash,Rare,1
CUST00197,49,Female,Ahmedabad,Medium,Online,Lenovo,80K-1.2L,EMI,Frequent,1
CUST00198,21,Female,Kolkata,Medium,Online,MSI,50K-80K,Debit Card,Rare,3
CUST00199,28,Female,Hyderabad,High,Online,Apple,50K-80K,Credit Card,Rare,4
CUST00200,34,Male,Delhi,Medium,Online,Samsung,30K-50K,Cash,Occasional,2
CUST00201,55,Female,Delhi,Low,Offline,MSI,30K-50K,UPI,Rare,5
CUST00202,41,Male,Jaipur,Medium,Offline,Asus,30K-50K,Credit Card,Rare,2
CUST00203,22,Female,Bangalore,Low,Offline,Apple,Above 1.2L,Cash,Occasional,3
CUST00204,51,Female,Hyderabad,Medium,Online,Acer,Above 1.2L,Cash,Rare,1
CUST00205,23,Male,Kolkata,High,Online,HP,50K-80K,Cash,Rare,3
CUST00206,39,Male,Chennai,Medium,Online,Apple,30K-50K,Cash,Occasional,4
CUST00207,28,Female,Delhi,Medium,Online,Acer,30K-50K,UPI,Occasional,5
CUST00208,33,Male,Ahmedabad,Low,Offline,Lenovo,Above 1.2L,EMI,Occasional,4
CUST00209,50,Female,Pune,Medium,Online,HP,Below 30K,Cash,Occasional,1
CUST00210,26,Male,Delhi,High,Offline,Apple,80K-1.2L,EMI,Rare,3
CUST00211,23,Male,Hyderabad,Low,Online,Dell,30K-50K,UPI,Occasional,3
CUST00212,33,Female,Ahmedabad,Low,Online,Acer,30K-50K,UPI,Occasional,1
CUST00213,46,Female,Pune,Medium,Online,Acer,80K-1.2L,Debit Card,Rare,1
CUST00214,20,Female,Mumbai,Medium,Online,Asus,Below 30K,Debit Card,Frequent,5
CUST00215,37,Male,Kolkata,Medium,Offline,Samsung,30K-50K,Cash,Occasional,4
CUST00216,53,Female,Delhi,High,Offline,Dell,Above 1.2L,EMI,Rare,1
CUST00217,36,Female,Hyderabad,Low,Online,HP,50K-80K,UPI,Occasional,1
CUST00218,43,Female,Pune,Medium,Online,Apple,50K-80K,Credit Card,Occasional,4
CUST00219,20,Female,Pune,Medium,Online,Lenovo,50K-80K,Debit Card,Rare,1
CUST00220,36,Female,Bangalore,Low,Online,Apple,Below 30K,Debit Card,Occasional,5
CUST00221,37,Male,Pune,Medium,Online,Samsung,30K-50K,Credit Card,Occasional,5
CUST00222,49,Male,Kolkata,Low,Offline,MSI,30K-50K,EMI,Occasional,4
CUST00223,24,Female,Ahmedabad,Low,Online,Samsung,30K-50K,EMI,Rare,2
CUST00224,58,Male,Ahmedabad,Low,Online,HP,30K-50K,EMI,Rare,5
CUST00225,50,Female,Pune,High,Offline,HP,50K-80K,Cash,Rare,3
CUST00226,57,Male,Hyderabad,Medium,Online,HP,Below 30K,Cash,Occasional,3
CUST00227,56,Female,Delhi,Medium,Online,HP,50K-80K,Credit Card,Occasional,2
CUST00228,35,Female,Hyderabad,Medium,Online,MSI,Below 30K,UPI,Rare,5
CUST00229,57,Male,Jaipur,Medium,Online,Acer,Below 30K,Credit Card,Rare,1
CUST00230,18,Male,Delhi,Medium,Online,Apple,30K-50K,UPI,Rare,2
CUST00231,28,Male,Mumbai,High,Online,Dell,80K-1.2L,Credit Card,Occasional,1
CUST00232,45,Female,Kolkata,Medium,Offline,Lenovo,Below 30K,Cash,Occasional,3
CUST00233,42,Female,Hyderabad,Medium,Offline,Lenovo,50K-80K,EMI,Rare,2
CUST00234,40,Male,Bangalore,Low,Offline,Asus,50K-80K,Debit Card,Rare,5
CUST00235,48,Female,Ahmedabad,Medium,Online,Acer,30K-50K,Credit Card,Rare,3
CUST00236,47,Male,Pune,Medium,Offline,HP,50K-80K,Credit Card,Rare,5
CUST00237,59,Male,Delhi,High,Online,Samsung,80K-1.2L,Debit Card,Occasional,1
CUST00238,52,Female,Pune,Low,Online,HP,50K-80K,Credit Card,Rare,5
CUST00239,24,Male,Mumbai,Low,Online,HP,30K-50K,EMI,Rare,2
CUST00240,33,Male,Jaipur,Medium,Online,Samsung,50K-80K,Debit Card,Occasional,1
CUST00241,43,Male,Pune,Low,Online,Acer,50K-80K,Debit Card,Frequent,2
CUST00242,19,Male,Hyderabad,Low,Online,Dell,Below 30K,EMI,Frequent,1
CUST00243,18,Male,Delhi,High,Offline,HP,Below 30K,EMI,Frequent,2
CUST00244,29,Male,Bangalore,Medium,Online,Asus,30K-50K,Debit Card,Occasional,3
CUST00245,22,Female,Mumbai,High,Offline,Asus,Below 30K,EMI,Occasional,2
CUST00246,54,Male,Kolkata,High,Online,Dell,30K-50K,EMI,Occasional,3
CUST00247,49,Male,Jaipur,Low,Online,Acer,30K-50K,EMI,Occasional,4
CUST00248,26,Male,Hyderabad,Medium,Online,HP,30K-50K,Debit Card,Frequent,5
CUST00249,58,Male,Kolkata,Low,Online,MSI,80K-1.2L,Credit Card,Rare,1
CUST00250,52,Female,Bangalore,High,Online,Apple,50K-80K,UPI,Rare,5
CUST00251,36,Female,Kolkata,Medium,Online,Apple,80K-1.2L,Debit Card,Rare,3
CUST00252,33,Male,Ahmedabad,Medium,Online,Lenovo,50K-80K,UPI,Occasional,3
CUST00253,20,Female,Delhi,Medium,Online,Dell,Below 30K,EMI,Occasional,3
CUST00254,37,Female,Kolkata,Medium,Offline,Apple,30K-50K,EMI,Occasional,2
CUST00255,41,Female,Hyderabad,Low,Online,Lenovo,80K-1.2L,Credit Card,Rare,5
CUST00256,50,Male,Ahmedabad,Medium,Online,Asus,30K-50K,EMI,Rare,3
CUST00257,41,Male,Ahmedabad,Medium,Offline,Lenovo,Below 30K,UPI,Frequent,4
CUST00258,28,Male,Kolkata,High,Online,HP,30K-50K,Debit Card,Rare,3
CUST00259,25,Female,Jaipur,Medium,Offline,HP,30K-50K,Debit Card,Rare,5
CUST00260,53,Male,Chennai,Medium,Offline,Asus,30K-50K,Credit Card,Occasional,3
CUST00261,55,Female,Jaipur,High,Offline,Dell,Below 30K,UPI,Rare,3
CUST00262,57,Male,Pune,Low,Online,Acer,30K-50K,EMI,Rare,1
CUST00263,37,Male,Hyderabad,High,Online,Samsung,50K-80K,Cash,Rare,3
CUST00264,52,Female,Chennai,Low,Online,Samsung,30K-50K,Credit Card,Rare,5
CUST00265,42,Male,Delhi,Medium,Online,HP,50K-80K,Credit Card,Rare,1
CUST00266,52,Male,Ahmedabad,Medium,Online,Samsung,50K-80K,Cash,Rare,1
CUST00267,42,Female,Hyderabad,Medium,Online,HP,50K-80K,Debit Card,Rare,3
CUST00268,46,Female,Bangalore,High,Offline,Lenovo,30K-50K,Debit Card,Rare,3
CUST00269,35,Female,Pune,Low,Online,Lenovo,50K-80K,Debit Card,Occasional,4
CUST00270,35,Female,Pune,Medium,Offline,Lenovo,Below 30K,Cash,Rare,5
CUST00271,19,Female,Hyderabad,Medium,Offline,Apple,30K-50K,EMI,Rare,5
CUST00272,52,Female,Delhi,High,Online,MSI,50K-80K,EMI,Rare,2
CUST00273,33,Male,Ahmedabad,Low,Online,Asus,30K-50K,UPI,Rare,2
CUST00274,58,Male,Mumbai,High,Online,Dell,30K-50K,UPI,Rare,5
CUST00275,53,Male,Mumbai,Medium,Offline,Lenovo,30K-50K,Debit Card,Rare,3
CUST00276,50,Male,Hyderabad,Low,Online,Dell,Below 30K,Cash,Frequent,1
CUST00277,21,Female,Kolkata,Medium,Online,MSI,30K-50K,Credit Card,Frequent,4
CUST00278,50,Female,Jaipur,Low,Online,Lenovo,Above 1.2L,EMI,Occasional,3
CUST00279,31,Female,Pune,Medium,Offline,HP,30K-50K,Cash,Rare,1
CUST00280,38,Male,Delhi,Low,Offline,MSI,30K-50K,UPI,Occasional,5
CUST00281,37,Female,Pune,Medium,Online,Dell,50K-80K,EMI,Rare,3
CUST00282,25,Male,Bangalore,Medium,Online,Apple,50K-80K,EMI,Occasional,4
CUST00283,24,Female,Mumbai,Medium,Online,Lenovo,80K-1.2L,Cash,Rare,2
CUST00284,20,Female,Ahmedabad,Medium,Online,Acer,80K-1.2L,UPI,Occasional,1
CUST00285,34,Male,Bangalore,Medium,Offline,Asus,50K-80K,Cash,Frequent,3
CUST00286,50,Male,Ahmedabad,Low,Offline,HP,Above 1.2L,Credit Card,Rare,4
CUST00287,29,Male,Pune,Medium,Offline,MSI,30K-50K,EMI,Rare,3
CUST00288,39,Female,Delhi,High,Online,MSI,50K-80K,Cash,Rare,5
CUST00289,39,Female,Mumbai,High,Online,Lenovo,80K-1.2L,Cash,Rare,1
CUST00290,47,Female,Pune,Low,Online,MSI,50K-80K,Credit Card,Frequent,5
CUST00291,55,Male,Mumbai,Low,Online,Dell,Above 1.2L,Cash,Rare,5
CUST00292,55,Male,Hyderabad,High,Online,Samsung,Below 30K,EMI,Rare,2
CUST00293,25,Female,Ahmedabad,Medium,Offline,Lenovo,30K-50K,Debit Card,Occasional,5
CUST00294,44,Female,Pune,Medium,Online,HP,Above 1.2L,Debit Card,Rare,4
CUST00295,44,Male,Chennai,Medium,Offline,Asus,30K-50K,UPI,Rare,1
CUST00296,51,Male,Mumbai,Medium,Online,Asus,50K-80K,Credit Card,Rare,2
CUST00297,38,Female,Mumbai,Medium,Online,Asus,Below 30K,UPI,Occasional,3
CUST00298,47,Male,Chennai,High,Online,Acer,50K-80K,Debit Card,Rare,5
CUST00299,50,Male,Kolkata,Medium,Online,Samsung,80K-1.2L,Credit Card,Occasional,3
CUST00300,45,Male,Pune,Low,Online,HP,30K-50K,Cash,Rare,2
CUST00301,50,Male,Chennai,Low,Offline,Acer,Below 30K,Cash,Rare,3
CUST00302,22,Female,Mumbai,Low,Online,Acer,Below 30K,EMI,Rare,4
CUST00303,36,Female,Pune,Medium,Offline,MSI,80K-1.2L,Debit Card,Frequent,2
CUST00304,21,Female,Delhi,Low,Offline,Lenovo,50K-80K,Cash,Rare,1
CUST00305,52,Male,Delhi,Low,Online,HP,Below 30K,Credit Card,Rare,1
